Id,SalePrice
951,97985.2464687346
952,191098.186366799
953,359958.707676052
954,551789.857009629
955,102877.155200944
956,151496.641814768
957,192144.022055838
958,237576.789942038
959,197661.651392393
960,131984.662677923
961,115677.899380579
962,158738.408318494
963,169733.77359768
964,157017.249169445
965,151145.869115649
966,121622.940236425
967,188282.262162355
968,195218.739321072
969,187934.040461851
970,135808.000746978
971,174398.150019434
972,86699.5297156213
973,262502.04301576
974,93413.1370079947
975,171408.020926623
976,156263.338650883
977,392454.791403648
978,140854.176125397
979,193517.477145731
980,412202.296374423
981,155458.927019364
982,107035.613659981
983,126017.058550419
984,173936.655129
985,299614.797300022
986,278103.780128692
987,139698.206553143
988,227735.008014079
989,181065.344342715
990,169885.449556808
991,174831.047514538
992,334542.118839741
993,95719.667215677
994,126453.956275291
995,144497.217022306
996,89660.1027344073
997,199950.786930793
998,137856.970203894
999,140923.613561946
1000,188512.085772374
1001,145200.202737581
1002,385801.451595874
1003,149032.230209491
1004,118148.940753895
1005,329695.189950529
1006,259802.813044266
1007,191993.44051995
1008,153021.885423134
1009,109435.998621312
1010,343034.881585488
1011,138180.411500226
1012,144301.812224079
1013,144429.102123547
1014,137990.948886174
1015,140277.258930898
1016,109836.189457139
1017,152901.31930974
1018,158570.393027782
1019,322805.829927623
1020,127201.206586561
1021,97589.3998111173
1022,135444.728208706
1023,284401.383891782
1024,116757.172008266
1025,110131.030800637
1026,108864.20006302
1027,136446.059847689
1028,227788.27899019
1029,276415.143807686
1030,167700.631452938
1031,100443.480131139
1032,166954.267897977
1033,325821.240862525
1034,124862.902723223
1035,265957.141594594
1036,199297.428415263
1037,126605.413613917
1038,102581.779590066
1039,255791.026602736
1040,286802.31067905
1041,203717.637054359
1042,220406.113281855
1043,184309.72569391
1044,108469.236357836
1045,62182.2265187413
1046,140531.149967493
1047,330941.101961586
1048,126725.770356234
1049,80415.0410891643
1050,158896.32914866
1051,208567.447956369
1052,314583.148595024
1053,132385.250805851
1054,267327.473529603
1055,312510.849420845
1056,137699.65125283
1057,185013.290479566
1058,140539.129191696
1059,309369.620059804
1060,233095.849219425
1061,162020.249607815
1062,86961.4542213652
1063,122936.447186599
1064,140384.407391144
1065,176729.27806944
1066,89340.2252946869
1067,113002.300249431
1068,130876.398216174
1069,259198.668256195
1070,298611.068253512
1071,137889.706255833
1072,133481.659166436
1073,99274.459131371
1074,170379.24244418
1075,95942.3813918302
1076,134750.275214922
1077,200643.783589544
1078,221812.07094684
1079,97069.5285569598
1080,192845.251100219
1081,230193.579606028
1082,96646.5314871
1083,105380.089347556
1084,106582.105761868
1085,233486.332349942
1086,121512.949857257
1087,144923.251746437
1088,125517.309592475
1089,192239.291514112
1090,278700.641408209
1091,183735.40441691
1092,130292.30144658
1093,115497.286257191
1094,125016.054748397
1095,170641.733073663
1096,192769.064021879
1097,139476.198942344
1098,283827.248877294
1099,161371.862431913
1100,166961.306280617
1101,141819.248136584
1102,123395.936521395
1103,174865.11280113
1104,172410.932373055
1105,221572.280483587
1106,196488.765428398
1107,158083.851710919
1108,198107.370776563
1109,152643.786859769
1110,211979.678530184
1111,114804.397397325
1112,160190.398446314
1113,213306.947236239
1114,421091.199323882
1115,129646.808674114
1116,109274.991285814
1117,178876.515227998
1118,259572.466830225
1119,131011.218272708
1120,149537.513766523
1121,166107.11116723
1122,191767.179168895
1123,118025.558528886
1124,110509.553946775
1125,110007.520219596
1126,153406.818878654
1127,190417.813122292
1128,396807.836129386
1129,265508.907327094
1130,281241.866145971
1131,142444.236084361
1132,103476.238927377
1133,125959.978772053
1134,127352.529278883
1135,305261.989696432
1136,198374.517842151
1137,114833.773599478
1138,221441.403838261
1139,113977.623639326
1140,150642.281283968
1141,100502.733598893
1142,101421.133198302
1143,227797.486394387
1144,317724.983397693
1145,289145.91761695
1146,122843.798833955
1147,177483.962174798
1148,215013.703982939
1149,176346.408472958
1150,176915.36516484
1151,212252.084055488
1152,111601.316778441
1153,277457.95270579
1154,166726.854892174
1155,133054.823246013
1156,190991.261854686
1157,108309.786323378
1158,120729.980837251
1159,161750.604551619
1160,195339.452747725
1161,140609.36337801
1162,152446.695293499
1163,93845.5266415389
1164,252652.205885733
1165,190308.1946354
1166,123563.743133271
1167,204481.445784286
1168,266890.219673405
1169,121044.875434449
1170,142804.830217013
1171,181796.445924058
1172,175221.552515561
1173,263518.063679409
1174,150487.485742357
1175,167170.490663036
1176,134126.684217066
1177,255650.977558485
